Epoch,Training Accuracy,Test Accuracy,Training Loss,Test Loss
1,0.4517860412597656,0.676943302154541,2.118487596511841,1.418475866317749
2,0.8778374195098877,0.6918468475341797,0.39250418543815613,1.684770107269287
3,0.9448794722557068,0.7236995697021484,0.183064267039299,1.7345556020736694
4,0.9561851024627686,0.7248684763908386,0.1365220546722412,2.072035789489746
5,0.9718458652496338,0.7497077584266663,0.09254250675439835,2.153414249420166
6,0.9752771258354187,0.7533606290817261,0.07909124344587326,2.3599915504455566
7,0.9785764813423157,0.7416715621948242,0.06716267764568329,2.5027689933776855
8,0.981127917766571,0.7447398900985718,0.06272122263908386,2.6429500579833984
